Server: userID,itemID,amount,date,time
761927,6,98,2020-04-01,14:35:25
629503,37,94,2020-04-01,14:35:47
988751,14,2,2020-04-01,14:38:11
292280,26,73,2020-04-01,14:38:23
901142,6,1,2020-04-01,14:40:47
729328,32,83,2020-04-01,14:40:47
499313,29,26,2020-04-01,14:40:53
721631,11,49,2020-04-01,14:41:03
719482,92,54,2020-04-01,14:41:06
545768,77,73,2020-04-01,14:41:07
160939,96,59,2020-04-01,14:41:08
864112,44,56,2020-04-01,14:41:08
839877,3276,23,2020-04-01,14:43:33
150706,9452,86,2020-04-01,14:46:01
58796,6886,29,2020-04-01,14:46:01
869316,7624,10,2020-04-01,14:46:32
950957,4865,16,2020-04-01,14:46:39
852580,6034,95,2020-04-01,14:47:05
484455,9939,60,2020-04-01,14:47:13
368932,8362,98,2020-04-01,14:47:13
32175,9656,4,2020-04-01,14:47:15
926262,2095,12,2020-04-01,14:47:15
679852,4079,28,2020-04-01,14:47:16
978856,411,16,2020-04-01,14:47:16
386365,8986,59,2020-04-01,14:47:23
691834,6394,77,2020-04-01,14:48:22
609621,4577,62,2020-04-01,14:48:26
140779,1060,62,2020-04-01,14:48:29
985931,5942,60,2020-04-01,14:48:30
792871,8874,70,2020-04-01,14:48:30
380748,4493,1,2020-04-01,14:48:32
986866,4359,67,2020-04-01,14:48:54
387931,1595,34,2020-04-01,14:49:01
313689,2942,13,2020-04-01,14:49:01
383638,3362,4,2020-04-01,14:49:01
441142,4058,68,2020-04-01,14:49:05
694433,8839,84,2020-04-01,14:49:13
464741,9342,8,2020-04-01,14:49:13
988689,6685,5,2020-04-01,14:49:16
169577,9892,65,2020-04-01,14:49:16
635495,472,50,2020-04-01,14:49:18
573840,9096,16,2020-04-01,14:49:18
600433,8062,72,2020-04-01,14:49:22
902484,4059,72,2020-04-01,14:49:25
959207,2287,3,2020-04-01,14:49:27
792281,8048,89,2020-04-01,14:49:30
982185,1985,37,2020-04-01,14:49:35
305884,9405,42,2020-04-01,14:52:22
63151,5078,64,2020-04-01,14:52:25
465511,1898,6,2020-04-01,14:52:25
18851,5096,2,2020-04-01,14:52:30
167391,1466,12,2020-04-01,14:52:33
991001,4909,65,2020-04-01,14:52:38
663686,8235,9,2020-04-01,14:52:41
97718,8000,21,2020-04-01,14:52:41
513375,7825,26,2020-04-01,14:52:41
926764,1796,31,2020-04-01,14:52:50
874420,8656,6,2020-04-01,14:53:02
372861,330,68,2020-04-01,14:53:02
635634,6104,48,2020-04-01,14:53:04
277628,1307,17,2020-04-01,14:53:08
613251,1225,58,2020-04-01,14:53:10
74186,7139,23,2020-04-01,14:53:14
997007,6619,41,2020-04-01,14:53:15
712856,582,27,2020-04-01,14:53:15
122908,2551,28,2020-04-01,14:54:53
43934,1878,54,2020-04-01,14:54:54
321884,4024,62,2020-04-01,14:54:56
473588,2850,81,2020-04-01,14:54:56
218173,125,16,2020-04-01,14:55:01
359061,8939,1,2020-04-01,14:55:01
567641,2761,8,2020-04-01,14:55:04
203315,4675,9,2020-04-01,14:55:06
840149,3723,42,2020-04-01,14:55:09
24505,7154,53,2020-04-01,14:55:14
778715,9456,49,2020-04-01,14:55:17
503788,1986,97,2020-04-01,14:55:26
652854,3489,94,2020-04-01,14:55:26
716779,2133,75,2020-04-01,14:55:40
893699,6155,66,2020-04-01,14:55:40
951108,6574,22,2020-04-01,14:59:15
682933,4034,33,2020-04-01,14:59:15
783291,1777,97,2020-04-01,14:59:25
319201,1213,33,2020-04-01,14:59:28
309824,2660,50,2020-04-01,14:59:33
672778,672,21,2020-04-01,14:59:36
182583,2193,18,2020-04-01,14:59:38
699415,8853,89,2020-04-01,14:59:38
129943,8770,19,2020-04-01,14:59:41
905254,8694,45,2020-04-01,14:59:41
728523,2356,93,2020-04-01,14:59:41
223020,5621,4,2020-04-01,14:59:44
282833,8007,94,2020-04-01,14:59:51
859191,845,63,2020-04-01,14:59:51
482025,4845,16,2020-04-01,14:59:52
553899,5738,86,2020-04-01,14:59:52
974279,4836,49,2020-04-01,14:59:57
730456,4818,55,2020-04-01,15:01:30
938728,2566,98,2020-04-01,15:01:30
900370,2614,38,2020-04-01,15:01:30
477836,7798,50,2020-04-01,15:01:30
793196,6480,80,2020-04-01,15:01:30
825183,2672,57,2020-04-01,15:02:04
254258,3099,13,2020-04-01,15:02:29
78839,3508,82,2020-04-01,15:02:35
937747,4227,35,2020-04-01,15:02:37
572268,2077,34,2020-04-01,15:02:37
49305,4268,89,2020-04-01,15:02:38
434769,1019,31,2020-04-01,15:03:36
584193,5885,42,2020-04-01,15:03:36
882696,4749,98,2020-04-01,15:03:37
74080,5999,34,2020-04-01,15:04:14
190561,4816,33,2020-04-01,15:04:14
486678,6263,5,2020-04-01,15:04:32
826834,1846,63,2020-04-01,15:04:41
675140,2095,54,2020-04-01,15:04:41
686463,3177,26,2020-04-01,15:04:41
573200,2931,73,2020-04-01,15:04:41
310922,5038,40,2020-04-01,15:04:42
784126,549,66,2020-04-01,15:04:51
842491,8823,50,2020-04-01,15:04:51
602884,7735,83,2020-04-01,15:04:51
99655,3024,97,2020-04-01,15:04:51
694588,129,60,2020-04-01,15:04:51
991091,7323,58,2020-04-01,15:04:55
328300,8239,26,2020-04-01,15:04:58
387014,2630,45,2020-04-01,15:05:28
190682,8746,6,2020-04-01,15:05:28
378939,3499,42,2020-04-01,15:05:38
372885,2856,10,2020-04-01,15:05:41
664871,210,14,2020-04-01,15:05:44
985169,2118,49,2020-04-01,15:05:44
342099,1074,3,2020-04-01,15:05:49
678198,2845,87,2020-04-01,15:05:49
96337,9093,30,2020-04-01,15:05:57
287828,734,95,2020-04-01,15:05:57
33010,8647,56,2020-04-01,15:05:58
814962,9543,45,2020-04-01,15:05:58
91825,3319,83,2020-04-01,15:06:02
971249,6878,5,2020-04-01,15:06:02
235641,494,48,2020-04-01,15:06:04
472278,2763,19,2020-04-01,15:06:05
348312,3221,54,2020-04-01,15:06:05
175555,4187,7,2020-04-01,15:06:32
55312,8923,96,2020-04-01,15:07:42
230503,5800,47,2020-04-01,15:07:42
707544,3917,46,2020-04-01,15:07:48
436450,7669,2,2020-04-01,15:07:48
509161,4503,52,2020-04-01,15:07:51
730362,3119,42,2020-04-01,15:08:08
602591,8270,91,2020-04-01,15:08:08
503501,2537,8,2020-04-01,15:08:09
534562,8001,59,2020-04-01,15:08:09
736369,4386,44,2020-04-01,15:08:11
707704,5614,29,2020-04-01,15:08:12
922659,528,51,2020-04-01,15:08:14
488402,223,35,2020-04-01,15:08:17
605507,6711,53,2020-04-01,15:08:17
248800,6837,36,2020-04-01,15:08:17
334830,9753,30,2020-04-01,15:08:17
943576,6330,43,2020-04-01,15:08:20
740886,4796,2,2020-04-01,15:08:22
715083,8500,66,2020-04-01,15:08:22
380143,380,57,2020-04-01,15:08:22
474616,4446,96,2020-04-01,15:08:22
544274,3397,31,2020-04-01,15:08:22
888843,2793,6,2020-04-01,15:08:25
110623,3680,31,2020-04-01,15:08:30
576720,5080,39,2020-04-01,15:08:59
16729,6888,37,2020-04-01,15:08:59
326188,7336,4,2020-04-01,15:08:59
214482,3507,20,2020-04-01,15:09:02
680449,5503,15,2020-04-01,15:09:42
519553,8960,3,2020-04-01,15:09:51
210572,4192,37,2020-04-01,15:09:58
935137,682,98,2020-04-01,15:09:58
269939,5941,4,2020-04-01,15:10:16
299185,8869,95,2020-04-01,15:10:16
376217,7723,55,2020-04-01,15:10:16
875591,7435,4,2020-04-01,15:10:16
806398,6449,71,2020-04-01,15:10:19
491273,997,3,2020-04-01,15:10:20
6272,849,83,2020-04-01,15:13:52
617387,805,60,2020-04-01,15:13:52
608576,3969,3,2020-04-01,15:13:55
353804,49,1,2020-04-01,15:13:56
111342,405,62,2020-04-01,15:13:56
227627,4647,60,2020-04-01,15:13:58
752999,9999,3,2020-04-01,15:13:58
137941,5340,25,2020-04-01,15:13:58
750519,2789,33,2020-04-01,15:13:58
82365,2124,20,2020-04-01,15:13:59
492520,3297,69,2020-04-01,15:13:59
540466,8208,23,2020-04-01,15:14:14
904749,757,4,2020-04-01,15:14:17
1706,6222,4,2020-04-01,15:14:18
637347,9625,79,2020-04-01,15:14:20
512258,8446,55,2020-04-01,15:14:20
601250,9566,8,2020-04-01,15:14:23
470117,9397,38,2020-04-01,15:14:27
833371,8157,55,2020-04-01,15:14:40
420194,1591,40,2020-04-01,15:14:44
194167,7089,84,2020-04-01,15:14:51
852702,2678,41,2020-04-01,15:14:51
891979,5237,88,2020-04-01,15:14:56
488740,4951,89,2020-04-01,15:16:30
934371,7204,70,2020-04-01,15:16:30
51755,4817,17,2020-04-01,15:16:35
461800,4573,60,2020-04-01,15:16:38
334501,9222,18,2020-04-01,15:16:38
733937,9259,74,2020-04-01,15:16:49
528728,9427,34,2020-04-01,15:16:49
125680,7183,21,2020-04-01,15:17:46
376202,3929,70,2020-04-01,15:17:46
600437,3152,19,2020-04-01,15:18:46
20275,2041,70,2020-04-01,15:18:46
217969,4048,42,2020-04-01,15:18:46
554268,5547,41,2020-04-01,15:19:08
654021,6173,1,2020-04-01,15:20:26
843571,6306,17,2020-04-01,15:20:26
760988,3410,18,2020-04-01,15:20:26
942120,8422,70,2020-04-01,15:20:47
180611,3996,20,2020-04-01,15:20:47
310773,6518,62,2020-04-01,15:20:50
647416,7992,27,2020-04-01,15:21:08
119553,1166,60,2020-04-01,15:21:08
777880,349,72,2020-04-01,15:21:08
792600,5995,17,2020-04-01,15:21:32
577948,660,9,2020-04-01,15:22:19
448283,1495,88,2020-04-01,15:22:20
135393,8606,15,2020-04-01,15:22:33
980195,1672,60,2020-04-01,15:22:33
650108,1223,33,2020-04-01,15:22:33
845651,6287,32,2020-04-01,15:22:33
249244,3890,65,2020-04-01,15:22:36
71801,6138,50,2020-04-01,15:22:38
113304,2214,94,2020-04-01,15:22:41
271194,3340,18,2020-04-01,15:22:41
413955,4609,36,2020-04-01,15:23:04
678317,5468,96,2020-04-01,15:23:04
763506,1408,24,2020-04-01,15:23:05
19248,7402,33,2020-04-01,15:23:18
83386,5292,57,2020-04-01,15:23:18
972798,2195,64,2020-04-01,15:23:27
268884,4392,68,2020-04-01,15:23:27
987565,822,36,2020-04-01,15:23:28
235730,6653,87,2020-04-01,15:23:28
93762,6178,60,2020-04-01,15:23:33
250889,6619,69,2020-04-01,15:23:33
698382,1695,78,2020-04-01,15:23:33
318211,2582,86,2020-04-01,15:23:34
153296,1640,6,2020-04-01,15:23:46
