historyID,action,userID,itemID,amount,date,time
1,1,435257,2,38,2021-02-25,10:23:15
2,1,599838,6,52,2021-02-25,14:23:15
3,1,699526,2,61,2021-02-25,19:23:15
4,1,429470,2,14,2021-02-25,14:23:15
5,1,259244,2,82,2021-02-25,14:23:20
6,1,140554,3,78,2021-02-25,14:23:21
7,1,274715,3,66,2021-02-25,14:23:21
8,1,919548,6,65,2021-02-25,14:23:25
9,1,979571,2,45,2021-02-25,14:23:25
10,1,151841,2,86,2021-02-25,14:23:25
11,1,964587,3,92,2021-02-25,14:23:25
12,1,597823,9,30,2021-02-25,14:23:25
13,1,745087,8,47,2021-02-25,14:23:25
14,1,759668,2,7,2021-02-25,14:23:25
15,1,296279,8,30,2021-02-25,14:23:27
16,1,72374,6,81,2021-02-25,14:23:27
17,1,899432,8,18,2021-02-25,14:23:27
18,1,661783,8,84,2021-02-25,14:23:27
19,1,137488,9,27,2021-02-25,14:23:27
20,1,991582,6,29,2021-02-25,14:23:27
21,1,657078,6,66,2021-02-25,14:23:27
22,1,276352,2,2,2021-02-25,14:23:27
23,1,855849,8,81,2021-02-25,14:23:27
24,1,4082,6,28,2021-02-25,14:23:27
25,1,6623,3,16,2021-02-25,14:23:27
26,1,804212,3,93,2021-02-25,14:23:30
27,1,473183,9,63,2021-02-25,14:23:30
28,1,128167,3,65,2021-02-25,14:23:30
29,1,468274,6,95,2021-02-25,14:23:30
30,1,765580,2,20,2021-02-25,14:23:30
31,1,12637,2,16,2021-02-25,14:23:30
32,1,85325,3,59,2021-02-25,14:23:30
33,1,384488,8,61,2021-02-25,14:23:30
34,1,829923,8,35,2021-02-25,14:23:30
35,1,275610,7,39,2021-02-25,14:23:30
36,1,847966,8,31,2021-02-25,14:23:30
37,1,740002,4,31,2021-02-25,14:23:30
38,1,388500,4,60,2021-02-25,14:23:30
39,1,694899,4,63,2021-02-25,14:23:30
40,1,697055,1,27,2021-02-25,14:23:30
41,0,961811,3,17,2021-02-25,14:23:41
42,0,93739,6,27,2021-02-25,14:23:41
43,0,713378,9,4,2021-02-25,14:23:41
44,0,531878,4,39,2021-02-25,14:23:41
45,0,758904,3,32,2021-02-25,14:23:43
46,0,706162,6,73,2021-02-25,14:23:43
47,0,616825,9,22,2021-02-25,14:23:43
48,0,500230,7,27,2021-02-25,14:23:43
49,0,950447,3,62,2021-02-25,14:23:43
50,0,264888,3,51,2021-02-25,14:23:43
51,0,223662,8,50,2021-02-25,14:23:43
52,0,15374,8,40,2021-02-25,14:23:43
53,0,320376,1,10,2021-02-25,14:23:43
54,0,662247,7,2,2021-02-25,14:23:43
55,0,133774,4,93,2021-02-25,14:23:43
56,0,357715,2,64,2021-02-25,14:23:43
57,0,509462,3,58,2021-02-25,14:23:54
58,0,290098,9,91,2021-02-25,14:23:54
59,0,498960,2,81,2021-02-25,14:23:54
60,0,914300,6,95,2021-02-25,14:23:54
61,0,499006,3,54,2021-02-25,14:24:00
62,0,208348,3,46,2021-02-25,14:24:00
63,0,619607,6,85,2021-02-25,14:24:00
64,0,905292,8,16,2021-02-25,14:24:00
65,0,361039,8,72,2021-02-25,14:24:00
66,0,361039,8,33,2021-02-23,14:24:00
67,0,361039,8,33,2021-02-28,14:24:00
68,0,208348,8,72,2021-02-24,14:24:00
69,0,361039,2,21,2021-02-24,14:24:00
70,0,361039,2,86,2021-02-26,14:24:00
71,0,361039,2,3,2021-01-24,14:24:00
72,0,758134,6,78,2021-02-25,15:05:23
73,0,594355,4,14,2021-02-25,15:05:23
74,0,360391,2,26,2021-02-25,15:05:23
75,0,748787,6,32,2021-02-25,15:05:23
76,0,448082,4,8,2019-02-25,15:05:23
77,0,466434,3,53,2021-02-25,15:05:23
78,0,148858,3,26,2021-06-01,15:05:25
79,0,393153,2,90,2021-12-12,15:05:25
80,0,400279,3,32,2021-02-24,15:05:25
81,0,796140,8,4,2021-02-26,15:05:25
82,0,72546,8,78,2021-02-28,15:05:25
83,0,729502,9,1,2021-02-25,16:57:23
84,1,786500,1,66,2021-02-25,20:13:12
85,1,509959,4,82,2021-02-25,20:13:12
86,1,424309,2,86,2021-02-25,20:13:12
87,1,284084,6,84,2021-02-25,20:13:12
88,1,376999,9,68,2021-02-25,20:13:12
89,0,758650,1,35,2021-02-25,20:13:12
90,0,544315,9,40,2021-02-25,20:13:12
