userID,itemID,amount,date,time
960437,8,58,2020-11-01,18:41:40
37984,9,54,2020-11-02,18:41:40
892573,9,18,2020-11-03,18:41:40
435391,1,47,2020-11-04,18:41:41
279080,1,88,2020-11-04,18:41:41
635156,3,1,2020-11-05,18:41:40
563426,9,31,2020-11-06,18:41:41
479994,4,46,2020-11-07,18:41:40
287467,5,7,2020-11-08,18:41:41
17987,9,1,2020-11-09,18:41:41
697569,6,53,2020-11-10,18:41:40
265853,5,41,2020-11-10,18:41:40
4881,9,42,2020-11-11,18:41:40
935175,6,21,2020-11-12,18:41:40
530320,6,53,2020-11-13,18:41:40
341511,5,95,2020-11-13,18:41:41
684099,5,64,2020-11-14,18:41:40
583467,1,53,2020-11-14,18:41:40
276598,4,52,2020-11-15,18:41:40
972324,5,30,2020-11-15,18:41:41
852852,5,90,2020-11-16,18:41:40
125392,5,39,2020-11-16,18:41:40
980795,1,37,2020-11-17,18:41:40
301460,8,15,2020-11-17,18:41:40
137503,1,26,2020-11-18,18:41:41
685398,1,83,2020-11-18,18:41:41
621075,2,25,2020-11-19,18:41:41
178946,1,28,2020-11-20,18:41:40
196497,3,9,2020-11-20,18:41:40
724714,7,27,2020-11-21,18:41:40
989415,4,86,2020-11-22,18:41:40
347305,5,18,2020-11-22,18:41:41
189268,8,38,2020-11-23,18:41:40
492114,3,45,2020-11-24,18:41:41
635898,1,51,2020-11-25,18:41:40
706610,2,52,2020-11-26,18:41:40
18128,1,49,2020-11-26,18:41:41
717609,3,35,2020-11-27,18:41:40
276751,3,88,2020-11-27,18:41:40
357247,4,71,2020-11-28,18:41:40
982609,3,27,2020-11-28,18:41:41
16242,2,45,2020-11-29,18:41:40
385844,1,56,2020-11-30,18:41:41.
